Name,RT,Volume,Log P,Anchor
GQ1(36:2;O2),7.319,102885,-4.35,F
GQ1(37:1;O2),9.08,61010,-2.87,F
GQ1(38:0;O2),10.499,357036,-1.81,F
GQ1(38:1;O2),9.916,8406161,-2.33,T
GQ1(38:1;O2),9.625,744887,-2.33,F
GQ1(38:2;O2),8.922,95106,-3.27,F
GQ1(40:1;O2),11.406,402218,-1.25,F
GQ1(40:3;O2),10.499,155197,-3.11,F
GQ1(42:1;O2),12.823,43306,-0.16,F
GQ1(42:2;O2),11.699,39719,-1.1,F
GQ1+2OAc(34:2;O2),6.966,57166,-4.28,F
GQ1+2OAc(36:1;O2),8.52,4607731,-2.27,F
GQ1+2OAc(36:1;O2),7.432,31595,-2.27,F
GQ1+2OAc(36:2;O2),7.472,66576,-3.2,F
GQ1+2OAc(37:1;O2),11.457,315309,-1.73,F
GQ1+2OAc(37:1;O2),9.301,49505,-1.73,F
GQ1+2OAc(38:1;O2),10.073,1979798,-1.18,F
GQ1+2OAc(39:1;O2),8.519,15693,-0.65,F
GQ1+2OAc(40:1;O2),11.621,66171,-0.1,F
GQ1+2OAc(41:1;O2),12.311,60959,0.43,F
GQ1+2OAc(42:2;O2),11.858,83002,0.04,F
GQ1+OAc(34:1;O2),6.872,98970,-3.92,F
GQ1+OAc(36:0;O2),9.841,330012,-2.32,F
GQ1+OAc(36:0;O2),8.998,179822,-2.32,F
GQ1+OAc(36:1;O2),8.454,7375650,-2.84,T
GQ1+OAc(36:1;O2),8.133,441615,-2.84,F
GQ1+OAc(36:2;O2),7.377,164969,-3.77,F
GQ1+OAc(38:1;O2),9.988,6771206,-1.76,T
GQ1+OAc(38:1;O2),9.664,230383,-1.76,F
GQ1+OAc(38:1;O2),12.167,57680,-1.76,F
GQ1+OAc(40:2;O2),8.019,60914,-2.69,F
GQ1+OAc(41:1;O2),12.231,80851,-0.14,F
GQ1+OAc(42:1;O2),12.882,51879,0.41,F
GQ1+OAc(42:2;O2),11.772,90929,-1.61,F
GQ1+OAc(42:2;O2),9.523,34226,-1.61,F
GT1(34:0;O2),3.949,107509,-1.51,F
GT1(34:0;O2),7.755,31228,-1.51,F
GT1(34:1;O2),7.157,704378,-2.03,F
GT1(34:1;O2),8.938,65216,-2.03,F
GT1(35:1;O2),7.958,214337,-1.49,F
GT1(35:1;O2),9.746,17743,-1.49,F
GT1(36:0;O2),9.345,3094830,-0.43,F
GT1(36:0;O3),8.058,606183,-1.59,F
GT1(36:0;O3),9.314,88762,-1.59,F
GT1(36:1;O2),8.701,56308300,-0.94,T
GT1(36:1;O2),9.295,125733,-0.94,F
GT1(36:1;O2),10.482,51160,-0.94,F
GT1(36:2;O2),7.661,1205187,-1.88,F
GT1(36:2;O2),8.636,89461,-1.88,F
GT1(36:2;O2),8.44,24059,-1.88,F
GT1(36:2;O2),9,8275,-1.88,F
GT1(37:1;O2),9.525,1489266,-0.41,F
GT1(37:1;O2),7.195,209351,-0.41,F
GT1(37:1;O2),9.055,31816,-0.41,F
GT1(37:1;O2),9.294,17414,-0.41,F
GT1(37:1;O2),11.258,13226,-0.41,F
GT1(37:2;O2),12.025,23420,-1.33,F
GT1(38:0;O2),10.873,3614817,0.66,F
GT1(38:0;O3),9.626,426918,-0.5,F
GT1(38:0;O3),10.855,127208,-0.5,F
GT1(38:0;O3),9.984,63765,-0.5,F
GT1(38:1;O2),10.244,52876808,0.14,T
GT1(38:2;O2),9.313,891698,-0.79,F
GT1(38:2;O2),9.072,184937,-0.79,F
GT1(38:2;O2),9.985,12946,-0.79,F
GT1(39:1;O2),11.047,700562,0.67,F
GT1(39:1;O2),10.598,42569,0.67,F
GT1(40:0;O2),12.298,121251,1.74,F
GT1(40:0;O2),10.958,26124,1.74,F
GT1(40:1;O2),11.769,3162596,1.22,T
GT1(40:3;O2),10.874,1091670,-0.64,F
GT1(41:1;O2),12.515,266188,1.77,F
GT1(42:1;O2),13.148,270737,2.31,F
GT1(42:2;O2),11.999,289179,1.37,F
GT1(42:3;O2),12.298,48385,0.44,F
GT1(43:2;O2),12.667,52368,1.92,F
GT1(44:1;O2),14.325,21390,3.39,F
GT1(44:2;O2),13.256,85302,2.46,F
GT1+2OAc(36:1;O2),8.818,385650,0.21,F
GT1+2OAc(36:2;O2),8.613,99268,-0.73,F
GT1+2OAc(36:2;O2),8.113,37040,-0.73,F
GT1+2OAc(38:1;O2),10.352,346396,1.29,F
GT1+HexNAc(36:1;O2),8.612,440146,-3.09,F
GT1+HexNAc(36:1;O2),8.823,31092,-3.09,F
GT1+HexNAc(38:1;O2),10.156,249715,-2.01,F
GT1+HexNAc(38:1;O2),10.363,34523,-2.01,F
GT1+HexNAc(41:1;O2),10.179,95611,-0.39,F
GT1+HexNAc+OAc(36:1;O2),8.627,127748,-2.51,F
GT1+HexNAc+OAc(36:1;O2),8.867,16125,-2.51,F
GT1+OAc(36:0;O2),10.169,1872777,0.15,F
GT1+OAc(36:0;O2),9.402,333298,0.15,F
GT1+OAc(36:0;O2),5.546,15534,0.15,F
GT1+OAc(36:1;O2),8.802,11228448,-0.37,T
GT1+OAc(36:1;O2),9.385,234912,-0.37,F
GT1+OAc(36:2;O2),7.738,231485,-1.3,F
GT1+OAc(36:2;O2),8.056,150524,-1.3,F
GT1+OAc(38:0;O2),10.932,352740,1.23,F
GT1+OAc(38:1;O2),10.333,12046494,0.71,T
GT1+OAc(38:1;O2),10.906,138781,0.71,F
GT1+OAc(38:2;O2),9.357,193546,-0.23,F
GT1+OAc(38:2;O2),9.623,91229,-0.23,F
GT1+OAc(38:2;O2),11.313,81041,-0.23,F
GT1+OAc(39:1;O2),11.068,160331,1.25,F
GT1+OAc(40:1;O2),11.826,392058,1.8,F
GT1+OAc(40:1;O2),13.74,60387,1.8,F
GT1+OAc(41:1;O2),12.572,61598,2.33,F
GT3(36:1;O2),9.599,293598,2.8,F
GT3(38:1;O2),11.126,41567,3.88,F
GT3(40:1;O2),9.988,170413,4.95,F
GT3(40:1;O2),8.704,51541,4.95,F
GT3(40:1;O2),12.596,14940,4.95,F
GT3(42:1;O2),11.494,272774,6.04,F
GT3(42:2;O2),12.78,12036,5.1,F
GT3(44:1;O2),13.355,21829,7.12,F
GT3(44:2;O2),9.814,994063,6.18,F
